206.png	girl	👧️	\U0001F467\U0000FE0F	U+1F467	girl
207.png	person	🧑️	\U0001F9D1\U0000FE0F	U+1F9D1	person
208.png	person: blond hair	👱️	\U0001F471\U0000FE0F	U+1F471	person: blond hair
209.png	man	👨️	\U0001F468\U0000FE0F	U+1F468	man
210.png	person: beard	🧔️	\U0001F9D4\U0000FE0F	U+1F9D4	person: beard
211.png	man: red hair	👨‍🦰️	\U0001F468\U0000200D\U0001F9B0\U0000FE0F	U+1F468 U+200D U+1F9B0	man: red hair
212.png	man: curly hair	👨‍🦱️	\U0001F468\U0000200D\U0001F9B1\U0000FE0F	U+1F468 U+200D U+1F9B1	man: curly hair
213.png	man: white hair	👨‍🦳️	\U0001F468\U0000200D\U0001F9B3\U0000FE0F	U+1F468 U+200D U+1F9B3	man: white hair
214.png	man: bald	👨‍🦲️	\U0001F468\U0000200D\U0001F9B2\U0000FE0F	U+1F468 U+200D U+1F9B2	man: bald
215.png	woman	👩️	\U0001F469\U0000FE0F	U+1F469	woman
216.png	woman: red hair	👩‍🦰️	\U0001F469\U0000200D\U0001F9B0\U0000FE0F	U+1F469 U+200D U+1F9B0	woman: red hair
217.png	person: red hair	🧑‍🦰️	\U0001F9D1\U0000200D\U0001F9B0\U0000FE0F	U+1F9D1 U+200D U+1F9B0	person: red hair
218.png	woman: curly hair	👩‍🦱️	\U0001F469\U0000200D\U0001F9B1\U0000FE0F	U+1F469 U+200D U+1F9B1	woman: curly hair
219.png	person: curly hair	🧑‍🦱️	\U0001F9D1\U0000200D\U0001F9B1\U0000FE0F	U+1F9D1 U+200D U+1F9B1	person: curly hair
220.png	woman: white hair	👩‍🦳️	\U0001F469\U0000200D\U0001F9B3\U0000FE0F	U+1F469 U+200D U+1F9B3	woman: white hair
221.png	person: white hair	🧑‍🦳️	\U0001F9D1\U0000200D\U0001F9B3\U0000FE0F	U+1F9D1 U+200D U+1F9B3	person: white hair
222.png	woman: bald	👩‍🦲️	\U0001F469\U0000200D\U0001F9B2\U0000FE0F	U+1F469 U+200D U+1F9B2	woman: bald
223.png	person: bald	🧑‍🦲️	\U0001F9D1\U0000200D\U0001F9B2\U0000FE0F	U+1F9D1 U+200D U+1F9B2	person: bald
224.png	woman: blond hair	👱‍♀️️	\U0001F471\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F471 U+200D U+2640 U+FE0F	woman: blond hair
225.png	man: blond hair	👱‍♂️️	\U0001F471\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F471 U+200D U+2642 U+FE0F	man: blond hair
226.png	older person	🧓️	\U0001F9D3\U0000FE0F	U+1F9D3	older person
227.png	old man	👴️	\U0001F474\U0000FE0F	U+1F474	old man
228.png	old woman	👵️	\U0001F475\U0000FE0F	U+1F475	old woman
229.png	person frowning	🙍️	\U0001F64D\U0000FE0F	U+1F64D	person frowning
230.png	man frowning	🙍‍♂️️	\U0001F64D\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F64D U+200D U+2642 U+FE0F	man frowning
231.png	woman frowning	🙍‍♀️️	\U0001F64D\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F64D U+200D U+2640 U+FE0F	woman frowning
232.png	person pouting	🙎️	\U0001F64E\U0000FE0F	U+1F64E	person pouting
233.png	man pouting	🙎‍♂️️	\U0001F64E\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F64E U+200D U+2642 U+FE0F	man pouting
234.png	woman pouting	🙎‍♀️️	\U0001F64E\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F64E U+200D U+2640 U+FE0F	woman pouting
235.png	person gesturing NO	🙅️	\U0001F645\U0000FE0F	U+1F645	person gesturing NO
236.png	man gesturing NO	🙅‍♂️️	\U0001F645\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F645 U+200D U+2642 U+FE0F	man gesturing NO
237.png	woman gesturing NO	🙅‍♀️️	\U0001F645\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F645 U+200D U+2640 U+FE0F	woman gesturing NO
238.png	person gesturing OK	🙆️	\U0001F646\U0000FE0F	U+1F646	person gesturing OK
239.png	man gesturing OK	🙆‍♂️️	\U0001F646\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F646 U+200D U+2642 U+FE0F	man gesturing OK
240.png	woman gesturing OK	🙆‍♀️️	\U0001F646\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F646 U+200D U+2640 U+FE0F	woman gesturing OK
241.png	person tipping hand	💁️	\U0001F481\U0000FE0F	U+1F481	person tipping hand
242.png	man tipping hand	💁‍♂️️	\U0001F481\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F481 U+200D U+2642 U+FE0F	man tipping hand
243.png	woman tipping hand	💁‍♀️️	\U0001F481\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F481 U+200D U+2640 U+FE0F	woman tipping hand
244.png	person raising hand	🙋️	\U0001F64B\U0000FE0F	U+1F64B	person raising hand
245.png	man raising hand	🙋‍♂️️	\U0001F64B\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F64B U+200D U+2642 U+FE0F	man raising hand
246.png	woman raising hand	🙋‍♀️️	\U0001F64B\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F64B U+200D U+2640 U+FE0F	woman raising hand
247.png	deaf person	🧏️	\U0001F9CF\U0000FE0F	U+1F9CF	deaf person
248.png	deaf man	🧏‍♂️️	\U0001F9CF\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F9CF U+200D U+2642 U+FE0F	deaf man
249.png	deaf woman	🧏‍♀️️	\U0001F9CF\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F9CF U+200D U+2640 U+FE0F	deaf woman
250.png	person bowing	🙇️	\U0001F647\U0000FE0F	U+1F647	person bowing
251.png	man bowing	🙇‍♂️️	\U0001F647\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F647 U+200D U+2642 U+FE0F	man bowing
252.png	woman bowing	🙇‍♀️️	\U0001F647\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F647 U+200D U+2640 U+FE0F	woman bowing
253.png	person facepalming	🤦️	\U0001F926\U0000FE0F	U+1F926	person facepalming
254.png	man facepalming	🤦‍♂️️	\U0001F926\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F926 U+200D U+2642 U+FE0F	man facepalming
255.png	woman facepalming	🤦‍♀️️	\U0001F926\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F926 U+200D U+2640 U+FE0F	woman facepalming
256.png	person shrugging	🤷️	\U0001F937\U0000FE0F	U+1F937	person shrugging
257.png	man shrugging	🤷‍♂️️	\U0001F937\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F937 U+200D U+2642 U+FE0F	man shrugging
258.png	woman shrugging	🤷‍♀️️	\U0001F937\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F937 U+200D U+2640 U+FE0F	woman shrugging
259.png	health worker	🧑‍⚕️️	\U0001F9D1\U0000200D\U00002695\U0000FE0F\U0000FE0F	U+1F9D1 U+200D U+2695 U+FE0F	health worker
260.png	man health worker	👨‍⚕️️	\U0001F468\U0000200D\U00002695\U0000FE0F\U0000FE0F	U+1F468 U+200D U+2695 U+FE0F	man health worker
261.png	woman health worker	👩‍⚕️️	\U0001F469\U0000200D\U00002695\U0000FE0F\U0000FE0F	U+1F469 U+200D U+2695 U+FE0F	woman health worker
262.png	student	🧑‍🎓️	\U0001F9D1\U0000200D\U0001F393\U0000FE0F	U+1F9D1 U+200D U+1F393	student
263.png	man student	👨‍🎓️	\U0001F468\U0000200D\U0001F393\U0000FE0F	U+1F468 U+200D U+1F393	man student
264.png	woman student	👩‍🎓️	\U0001F469\U0000200D\U0001F393\U0000FE0F	U+1F469 U+200D U+1F393	woman student
265.png	teacher	🧑‍🏫️	\U0001F9D1\U0000200D\U0001F3EB\U0000FE0F	U+1F9D1 U+200D U+1F3EB	teacher
266.png	man teacher	👨‍🏫️	\U0001F468\U0000200D\U0001F3EB\U0000FE0F	U+1F468 U+200D U+1F3EB	man teacher
267.png	woman teacher	👩‍🏫️	\U0001F469\U0000200D\U0001F3EB\U0000FE0F	U+1F469 U+200D U+1F3EB	woman teacher
268.png	judge	🧑‍⚖️️	\U0001F9D1\U0000200D\U00002696\U0000FE0F\U0000FE0F	U+1F9D1 U+200D U+2696 U+FE0F	judge
269.png	man judge	👨‍⚖️️	\U0001F468\U0000200D\U00002696\U0000FE0F\U0000FE0F	U+1F468 U+200D U+2696 U+FE0F	man judge
270.png	woman judge	👩‍⚖️️	\U0001F469\U0000200D\U00002696\U0000FE0F\U0000FE0F	U+1F469 U+200D U+2696 U+FE0F	woman judge
271.png	farmer	🧑‍🌾️	\U0001F9D1\U0000200D\U0001F33E\U0000FE0F	U+1F9D1 U+200D U+1F33E	farmer
272.png	man farmer	👨‍🌾️	\U0001F468\U0000200D\U0001F33E\U0000FE0F	U+1F468 U+200D U+1F33E	man farmer
273.png	woman farmer	👩‍🌾️	\U0001F469\U0000200D\U0001F33E\U0000FE0F	U+1F469 U+200D U+1F33E	woman farmer
274.png	cook	🧑‍🍳️	\U0001F9D1\U0000200D\U0001F373\U0000FE0F	U+1F9D1 U+200D U+1F373	cook
275.png	man cook	👨‍🍳️	\U0001F468\U0000200D\U0001F373\U0000FE0F	U+1F468 U+200D U+1F373	man cook
276.png	woman cook	👩‍🍳️	\U0001F469\U0000200D\U0001F373\U0000FE0F	U+1F469 U+200D U+1F373	woman cook
277.png	mechanic	🧑‍🔧️	\U0001F9D1\U0000200D\U0001F527\U0000FE0F	U+1F9D1 U+200D U+1F527	mechanic
278.png	man mechanic	👨‍🔧️	\U0001F468\U0000200D\U0001F527\U0000FE0F	U+1F468 U+200D U+1F527	man mechanic
279.png	woman mechanic	👩‍🔧️	\U0001F469\U0000200D\U0001F527\U0000FE0F	U+1F469 U+200D U+1F527	woman mechanic
280.png	factory worker	🧑‍🏭️	\U0001F9D1\U0000200D\U0001F3ED\U0000FE0F	U+1F9D1 U+200D U+1F3ED	factory worker
